Park_Name,Park_Type,Zip_Code,Aqua_Feat__Pool,Aqua_Feat__Spray,Backstop__Practice,Ballfield,Basketball,Blueway,Complex__Ballfield,Complex__Tennis,Concessions,Disk_Golf,Driving_Range,Educational_Experience,Event_Space,Fitness_Course,Garden__Community,Garden__Display,Golf,Hockey__Ice,Loop_Walk,MP_Field__Large,MP_Field__Multiple,MP_Field__Small,Multiuse_Court,Natural_Area,Open_Turf,Open_Water,Other___Active,Other_Passive,Passive_Node,Picnic_Grounds,Playground__Destination,Playground__Local,Public_Art,Shelter,Shelter__Group,Skate_Park,Sledding_Hill,Structure,Tennis,Trail__Primitive,Volleyball,Water_Access__Developed,Water_Access__General,Water_Feature,Address,Lat,Lon,Cost
Coquillard Park,Neighborhood Park,46617,,1,,,0.5,,,,,,,,,,,,,,,,,,,,1,,,,,,,2,,,1,,,,2,,,,,,"1300 Campaeu, South Bend, Indiana 46617",41.68598226,-86.23081651,95333.34
East Race Waterway,Community Park,46617,,,,,,1,,,,,,1,1,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,,"126 N. Niles, South Bend, Indiana 46617",41.67740128,-86.24432329,158608.33
Edison Park,Neighborhood Park,46615,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,2,,,,,,"2400 Rockne Dr, South Bend, Indiana 46615",41.68932081,-86.21338156,31583.34
Helman Mini Park,Block Park,46615,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,"1118 Helmen, South Bend, Indiana 46615",41.6898799,-86.20093431,26250
Keller Park,Neighborhood Park,46616,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,4,,,,1,,"1935 Riverside Drive, South Bend, Indiana 46616",41.70278014,-86.26042586,44916.68
Nokomis Park,Block Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,"310 Wakewa, South Bend, Indiana 46617",41.69005327,-86.25416943,3500
Parkovash Park,Block Park,46617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,"215 Parkovash Avenue, South Bend, Indiana 46617",41.69207438,-86.252747,6250
Pier Park,Block Park,46601,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,2,,,"124 N. St. Joseph Street, South Bend, Indiana 46601",41.6767999,-86.24872928,26100
Seitz Park,Block Park,46601,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,1,,,"340 E. Colfax, South Bend, Indiana 46601",41.67777423,-86.24976801,58208.33
Veteran's Memorial Park,Neighborhood Park,46615,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,"1501 Northside Blvd, South Bend, Indiana 46615",41.66026249,-86.22534234,32250
